P15AWCJ06, AAW048TP1041B, A0803CB1000, 1091A08T41, BB766, 5813.681, 6436.671
P15AWAP30, AAW048TP1008B, A0803CB1000, 1091A08T41, BB726, 1461.980, 2195.850
P15AWAP32, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU23, 780.190, 1383.380
P15AWAP31, AAW048TP1008B, A0803CB1000, 1091A08T41, BB909, 148.000, 1257.590
P14AWDZ24, AAW048TP1041B, A0803CB1000, 1091A08T41, BB230, 3602.382, 4159.612
P14AWDZ40, AAW048TP1041B, A0803CB1000, 1091A08T41, BB216, 6644.973, 7202.203
P15AWAF38, AAW048TP1008B, A0803CB1000, 1091A08T41, BB860, 203.000, 1312.590
P15AWAG06, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU27, 717.190, 1320.380
P15AWAG22, AAW048TP1008B, A0803CB1000, 1091A08T41, BB912, 2339.180, 3448.770
P15AWAG38, AAW048TP1008B, A0803CB1000, 1091A08T41, BB902, 2371.180, 3480.770
P15AWAJ06, AAW048TP1008B, A0803CB1000, 1091A08T41, BB827, 4558.360, 5667.950
P15AWAJ22, AAW048TP1008B, A0803CB1000, 1091A08T41, BB871, 178.000, 1287.590
P15AWAJ38, AAW048TP1008B, A0803CB1000, 1091A08T41, BB842, 1229.590, 2339.180
P15AWAK07, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU68, 114.000, 717.190
P15AWAK23, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU66, 178.000, 781.190
P15AWAK39, AAW048TP1008B, A0803CB1000, 1091A08T41, BB869, 121.000, 1230.590
P15AWAL07, AAW048TP1008B, A0803CB1000, 1091A08T41, BB929, 3518.770, 4628.360
P15AWAL23, AAW048TP1008B, A0803CB1000, 1091A08T41, BBB29, 2462.610, 3196.481
P15AWAL39, AAW048TP1008B, A0803CB1000, 1091A08T41, BB904, 1229.590, 2339.180
P15AWAM07, AAW048TP1008B, A0803CB1000, 1091A08T41, BB831, 1254.590, 2364.180
P15AWAM23, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU17, 4371.331, 4974.522
P15AWAM39, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU18, 3331.512, 3934.702
P15AWAN07, AAW048TP1008B, A0803CB1000, 1091A08T41, BB852, 3457.770, 4567.360
P15AWAN23, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU42, 717.190, 1320.380
P15AWAN39, AAW048TP1008B, A0803CB1000, 1091A08T41, BB759, 4564.930, 5298.800
P15AWAP07, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU09, 723.190, 1326.380
P15AWAP23, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU04, 1320.380, 1923.571
P15AWBG11, AAW048TP1041B, A0803CB1000, 1091A08T41, BB216, 3301.591, 3858.822
P15AWBG27, AAW048TP1041B, A0803CB1000, 1091A08T41, BB787, 5999.790, 6622.781
P15AWBG43, AAW048TP1041B, A0803CB1000, 1091A08T41, BB766, 894.990, 1517.980
P15AWBL08, AAW048TP1008B, A0803CB1000, 1091A08T41, BB912, 120.000, 1229.590
P15AWBL24, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU69, 2038.571, 2641.761
P15AWBM08, AAW048TP1041B, A0803CB1000, 1091A08T41, BB235, 3257.591, 3814.822
P15AWBM24, AAW048TP1041B, A0803CB1000, 1091A08T41, BB767, 893.990, 1516.980
P15AWBM40, AAW048TP1041B, A0803CB1000, 1091A08T41, BB726, 4148.820, 4771.810
P15AWCC02, AAW048TP1041B, A0803CB1000, 1091A08T41, BB726, 3525.830, 4148.820
P15AWCC18, AAW048TP1041B, A0803CB1000, 1091A08T41, BB723, 812.990, 1435.980
P15AWCC34, AAW048TP1041B, A0803CB1000, 1091A08T41, BB231, 1234.461, 1791.691
P15AWCG06, AAW048TP1041B, A0803CB1000, 1091A08T41, BB768, 166.000, 788.990
P15AWCG22, AAW048TP1041B, A0803CB1000, 1091A08T41, BB231, 1791.691, 2348.921
P15AWCG38, AAW048TP1041B, A0803CB1000, 1091A08T41, BB216, 6087.743, 6644.973
P14AWDZ21, AAW048TP1041B, A0803CB1000, 1091A08T41, BB757, 841.990, 1464.980
P14AWDZ37, AAW048TP1041B, A0803CB1000, 1091A08T41, BB217, 2124.131, 2681.361
P15AWAG03, AAW048TP1008B, A0803CB1000, 1091A08T41, BBB29, 1728.740, 2462.610
P15AWAG19, AAW048TP1008B, A0803CB1000, 1091A08T41, BB868, 188.000, 1297.590
P15AWAG35, AAW048TP1008B, A0803CB1000, 1091A08T41, BB808, 1633.357, 2742.947
P15AWAJ03, AAW048TP1008B, A0803CB1000, 1091A08T41, BB855, 3442.770, 4552.360
P15AWAJ19, AAW048TP1008B, A0803CB1000, 1091A08T41, BB801, 1229.590, 2339.180
P15AWAJ35, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU59, 3733.141, 4336.331
P15AWAK04, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU66, 1987.571, 2590.761
P15AWAK20, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU22, 769.190, 1372.380
P15AWAK36, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU21, 2427.067, 3030.257
P15AWAL04, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU51, 717.190, 1320.380
P15AWAL20, AAW048TP1008B, A0803CB1000, 1091A08T41, BB871, 3506.770, 4616.360
P15AWAL36, AAW048TP1008B, A0803CB1000, 1091A08T41, BB901, 5667.950, 6777.540
P15AWAM04, AAW048TP1008B, A0803CB1000, 1091A08T41, BBB36, 5506.800, 6240.671
P15AWAM20, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU59, 114.000, 717.190
P15AWAM36, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU06, 740.190, 1343.380
P15AWAN04, AAW048TP1008B, A0803CB1000, 1091A08T41, BBB29, 261.000, 994.870
P15AWAN20, AAW048TP1008B, A0803CB1000, 1091A08T41, BB891, 3507.770, 4617.360
P15AWAN36, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU01, 1923.571, 2526.761
P15AWAP04, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU51, 1320.380, 1923.571
P15AWAP20, AAW048TP1008B, A0803CB1000, 1091A08T41, BBB15, 3318.950, 4052.820
P15AWBG08, AAW048TP1041B, A0803CB1000, 1091A08T41, BB723, 190.000, 812.990
P15AWBG24, AAW048TP1041B, A0803CB1000, 1091A08T41, BB713, 5098.047, 5721.037
P15AWBG40, AAW048TP1041B, A0803CB1000, 1091A08T41, BB731, 3343.950, 3966.940
P15AWBL05, AAW048TP1008B, A0803CB1000, 1091A08T41, BB234, 4240.612, 4946.282
P15AWBL21, AAW048TP1008B, A0803CB1000, 1091A08T41, BB831, 4583.360, 5692.950
P15AWBM05, AAW048TP1041B, A0803CB1000, 1091A08T41, BB217, 4669.492, 5226.722
P15AWBM21, AAW048TP1041B, A0803CB1000, 1091A08T41, BB211, 909.670, 1466.900
P15AWBM37, AAW048TP1041B, A0803CB1000, 1091A08T41, BB713, 5721.037, 6344.027
P15AWCC15, AAW048TP1041B, A0803CB1000, 1091A08T41, BB234, 1370.461, 1927.691
P15AWCC31, AAW048TP1041B, A0803CB1000, 1091A08T41, BB766, 272.000, 894.990
P15AWCC47, AAW048TP1041B, A0803CB1000, 1091A08T41, BB731, 5491.800, 6114.790
P15AWCG03, AAW048TP1041B, A0803CB1000, 1091A08T41, BB723, 5309.558, 5932.548
P15AWCG19, AAW048TP1041B, A0803CB1000, 1091A08T41, BB758, 1988.970, 2611.960
P15AWCG35, AAW048TP1041B, A0803CB1000, 1091A08T41, BB768, 788.990, 1411.980
P15AWCJ03, AAW048TP1041B, A0803CB1000, 1091A08T41, BB235, 3814.822, 4372.052
P15AWCZ09, AAW048TP1041B, A0803CB1000, 1091A08T41, BB231, 5692.303, 6249.533
P15AWBG05, AAW048TP1041B, A0803CB1000, 1091A08T41, BB788, 174.000, 796.990
P15AWBG21, AAW048TP1041B, A0803CB1000, 1091A08T41, BB757, 6104.790, 6727.781
P15AWBG37, AAW048TP1041B, A0803CB1000, 1091A08T41, BBB15, 1365.980, 1988.970
P15AWBL02, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU65, 2078.571, 2681.761
P15AWBL18, AAW048TP1008B, A0803CB1000, 1091A08T41, BB888, 220.000, 1329.590
P15AWBM02, AAW048TP1041B, A0803CB1000, 1091A08T41, BBB36, 6324.671, 6947.661
P15AWBM18, AAW048TP1041B, A0803CB1000, 1091A08T41, BB231, 6249.533, 6806.763
P15AWBM34, AAW048TP1041B, A0803CB1000, 1091A08T41, BB217, 6341.183, 6898.413
P15AWCC12, AAW048TP1041B, A0803CB1000, 1091A08T41, BB219, 6661.533, 7218.763
P15AWCC28, AAW048TP1041B, A0803CB1000, 1091A08T41, BBB03, 222.000, 844.990
P15AWCC44, AAW048TP1041B, A0803CB1000, 1091A08T41, BB757, 2710.960, 3333.950
P15AWCG16, AAW048TP1041B, A0803CB1000, 1091A08T41, BBB32, 3972.940, 4595.930
P15AWCG32, AAW048TP1041B, A0803CB1000, 1091A08T41, BBB32, 2103.970, 2726.960
P15AWCZ06, AAW048TP1041B, A0803CB1000, 1091A08T41, BB753, 2730.960, 3353.950
P15AWAG16, AAW048TP1008B, A0803CB1000, 1091A08T41, BB914, 1229.590, 2339.180
P15AWAG32, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU52, 3129.951, 3733.141
P15AWAG48, AAW048TP1008B, A0803CB1000, 1091A08T41, BB808, 120.000, 523.767
P15AWAJ16, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU18, 241.000, 844.190
P15AWAJ32, AAW048TP1008B, A0803CB1000, 1091A08T41, BB845, 2339.180, 3448.770
P15AWAK01, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU04, 2526.761, 3129.951
P15AWAK17, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU22, 1372.380, 1975.571
P15AWAK33, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU06, 1946.571, 2549.761
P15AWAL01, AAW048TP1008B, A0803CB1000, 1091A08T41, BB855, 2333.180, 3442.770
P15AWAL17, AAW048TP1008B, A0803CB1000, 1091A08T41, BB852, 2348.180, 3457.770
P15AWAL33, AAW048TP1008B, A0803CB1000, 1091A08T41, BB725, 4226.246, 4960.116
P15AWAM01, AAW048TP1008B, A0803CB1000, 1091A08T41, BB901, 3448.770, 4558.360
P15AWAM17, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU42, 114.000, 717.190
P15AWAM33, AAW048TP1008B, A0803CB1000, 1091A08T41, BB745, 2124.970, 2858.840
P15AWAN01, AAW048TP1008B, A0803CB1000, 1091A08T41, BB883, 1656.618, 2766.208
P15AWAN17, AAW048TP1008B, A0803CB1000, 1091A08T41, BB852, 4567.360, 5676.950
P15AWAN33, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU46, 3733.141, 4336.331
P15AWAP01, AAW048TP1008B, A0803CB1000, 1091A08T41, BB904, 2339.180, 3448.770
P15AWAP17, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU43, 1923.571, 2526.761
P14AWDV24, AAW048TP1041B, A0803CB1000, 1091A08T41, BBB29, 5428.331, 6051.321
P14AWDZ34, AAW048TP1041B, A0803CB1000, 1091A08T41, BB787, 4474.930, 5097.920
P15AWCG41, AAW048TP1041B, A0803CB1000, 1091A08T41, BBB36, 4799.810, 5422.800
P15AWCG25, AAW048TP1041B, A0803CB1000, 1091A08T41, BBB32, 2726.960, 3349.950
P15AWCG09, AAW048TP1041B, A0803CB1000, 1091A08T41, BB219, 3262.062, 3819.292
P15AWCC37, AAW048TP1041B, A0803CB1000, 1091A08T41, BBB03, 4238.820, 4861.810
P15AWCC21, AAW048TP1041B, A0803CB1000, 1091A08T41, BB234, 1927.691, 2484.921
P15AWCC05, AAW048TP1041B, A0803CB1000, 1091A08T41, BBB32, 857.990, 1480.980
P15AWBM43, AAW048TP1041B, A0803CB1000, 1091A08T41, BB786, 6343.900, 6966.890
P15AWBM27, AAW048TP1041B, A0803CB1000, 1091A08T41, BB757, 2087.970, 2710.960
P15AWBM11, AAW048TP1041B, A0803CB1000, 1091A08T41, BBB32, 5218.920, 5841.910
P15AWBL27, AAW048TP1008B, A0803CB1000, 1091A08T41, BB806, 3593.770, 4703.360
P15AWBL11, AAW048TP1008B, A0803CB1000, 1091A08T41, BB888, 1717.946, 2827.536
P15AWBG46, AAW048TP1041B, A0803CB1000, 1091A08T41, BB234, 2484.921, 3042.151
P15AWBG30, AAW048TP1041B, A0803CB1000, 1091A08T41, BB214, 1237.461, 1794.691
P15AWBG14, AAW048TP1041B, A0803CB1000, 1091A08T41, BBB03, 5484.800, 6107.790
P15AWAP10, AAW048TP1008B, A0803CB1000, 1091A08T41, BB901, 120.000, 1229.590
P15AWAN42, AAW048TP1008B, A0803CB1000, 1091A08T41, BB879, 120.000, 1229.590
P15AWAN26, AAW048TP1008B, A0803CB1000, 1091A08T41, BB845, 4558.360, 5667.950
P15AWAN10, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU22, 1975.571, 2578.761
P15AWAM42, AAW048TP1008B, A0803CB1000, 1091A08T41, BB831, 2364.180, 3473.770
P15AWAM26, AAW048TP1008B, A0803CB1000, 1091A08T41, BB929, 2409.180, 3518.770
P15AWAM10, AAW048TP1008B, A0803CB1000, 1091A08T41, BB219, 2472.392, 3178.062
P15AWAL42, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU17, 3768.141, 4371.331
P15AWAL26, AAW048TP1008B, A0803CB1000, 1091A08T41, BB723, 3134.828, 3868.698
P15AWAL10, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU16, 180.000, 783.190
P15AWAK42, AAW048TP1008B, A0803CB1000, 1091A08T41, BB827, 3448.770, 4558.360
P15AWAK26, AAW048TP1008B, A0803CB1000, 1091A08T41, BB879, 1229.590, 2339.180
P15AWAK10, AAW048TP1008B, A0803CB1000, 1091A08T41, BB912, 1229.590, 2339.180
P15AWAJ41, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU67, 1411.380, 2014.571
P15AWAJ25, AAW048TP1008B, A0803CB1000, 1091A08T41, BB758, 4564.930, 5298.800
P15AWAJ09, AAW048TP1008B, A0803CB1000, 1091A08T41, BBJ02, 1223.590, 2333.180
P15AWAG41, AAW048TP1008B, A0803CB1000, 1091A08T41, BB845, 120.000, 1229.590
P14AWDZ27, AAW048TP1041B, A0803CB1000, 1091A08T41, BB710, 1365.980, 1988.970
P14AWDZ43, AAW048TP1041B, A0803CB1000, 1091A08T41, BB787, 1359.980, 1982.970
P15AWAG09, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU52, 1320.380, 1923.571
P15AWAG25, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU43, 717.190, 1320.380
P15AWAG12, AAW048TP1008B, A0803CB1000, 1091A08T41, BB854, 2468.180, 3577.770
P15AWAG28, AAW048TP1008B, A0803CB1000, 1091A08T41, BB828, 3448.770, 4558.360
P15AWAG44, AAW048TP1008B, A0803CB1000, 1091A08T41, BB863, 214.000, 1323.590
P15AWAJ12, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU17, 1355.380, 1958.571
P15AWAJ28, AAW048TP1008B, A0803CB1000, 1091A08T41, BB871, 4616.360, 5725.950
P15AWAJ44, AAW048TP1008B, A0803CB1000, 1091A08T41, BB216, 2511.921, 3217.591
P15AWAK13, AAW048TP1008B, A0803CB1000, 1091A08T41, BB819, 2458.180, 3567.770
P15AWAK29, AAW048TP1008B, A0803CB1000, 1091A08T41, BBB22, 881.870, 1615.740
P15AWAK45, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU17, 752.190, 1355.380
P15AWAL13, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU65, 2681.761, 3284.951
P15AWAL29, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU01, 717.190, 1320.380
P15AWAL45, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU51, 114.000, 717.190
P15AWAM13, AAW048TP1008B, A0803CB1000, 1091A08T41, BB924, 2339.180, 3448.770
P15AWAM29, AAW048TP1008B, A0803CB1000, 1091A08T41, BB827, 120.000, 1229.590
P15AWAM45, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU16, 783.190, 1386.380
P15AWAN13, AAW048TP1008B, A0803CB1000, 1091A08T41, BBB36, 244.000, 977.870
P15AWAN29, AAW048TP1008B, A0803CB1000, 1091A08T41, BB841, 2333.180, 3442.770
P15AWAN45, AAW048TP1008B, A0803CB1000, 1091A08T41, BB811, 3448.770, 4558.360
P15AWAP13, AAW048TP1008B, A0803CB1000, 1091A08T41, BB745, 4895.810, 5629.681
P15AWBG01, AAW048TP1041B, A0803CB1000, 1091A08T41, BB230, 259.000, 816.230
P15AWBG17, AAW048TP1041B, A0803CB1000, 1091A08T41, BB788, 1419.980, 2042.970
P15AWBG33, AAW048TP1041B, A0803CB1000, 1091A08T41, BB731, 229.000, 851.990
P15AWBL14, AAW048TP1008B, A0803CB1000, 1091A08T41, BB845, 3448.770, 4558.360
P15AWBM14, AAW048TP1041B, A0803CB1000, 1091A08T41, BB217, 2681.361, 3238.591
P15AWBM30, AAW048TP1041B, A0803CB1000, 1091A08T41, BB767, 6626.364, 7249.354
P15AWBM46, AAW048TP1041B, A0803CB1000, 1091A08T41, BB745, 6336.671, 6959.661
P15AWCC08, AAW048TP1041B, A0803CB1000, 1091A08T41, BB767, 3511.413, 4134.404
P15AWCC24, AAW048TP1041B, A0803CB1000, 1091A08T41, BB766, 2140.970, 2763.960
P15AWCC40, AAW048TP1041B, A0803CB1000, 1091A08T41, BB753, 861.990, 1484.980
P15AWCG12, AAW048TP1041B, A0803CB1000, 1091A08T41, BB214, 5770.952, 6328.183
P15AWCG28, AAW048TP1041B, A0803CB1000, 1091A08T41, BB713, 3929.940, 4552.930
P15AWCG44, AAW048TP1041B, A0803CB1000, 1091A08T41, BB768, 4805.810, 5428.800
P15AWCZ02, AAW048TP1041B, A0803CB1000, 1091A08T41, BB235, 4929.282, 5486.512
P14AWDZ30, AAW048TP1041B, A0803CB1000, 1091A08T41, BB214, 1794.691, 2351.921
P15AWCC14, AAW048TP1041B, A0803CB1000, 1091A08T41, BB767, 5380.384, 6003.374
P15AWCC30, AAW048TP1041B, A0803CB1000, 1091A08T41, BB787, 3851.940, 4474.930
P15AWCC46, AAW048TP1041B, A0803CB1000, 1091A08T41, BB710, 120.000, 742.990
P15AWCG02, AAW048TP1041B, A0803CB1000, 1091A08T41, BB759, 3857.940, 4480.930
P15AWCG18, AAW048TP1041B, A0803CB1000, 1091A08T41, BB745, 5713.681, 6336.671
P15AWCG34, AAW048TP1041B, A0803CB1000, 1091A08T41, BB231, 677.230, 1234.461
P15AWCJ02, AAW048TP1041B, A0803CB1000, 1091A08T41, BBB15, 2611.960, 3234.950
P15AWCZ08, AAW048TP1041B, A0803CB1000, 1091A08T41, BB219, 1273.931, 1831.161
P15AWAG34, AAW048TP1008B, A0803CB1000, 1091A08T41, BB842, 120.000, 1229.590
P15AWAJ02, AAW048TP1008B, A0803CB1000, 1091A08T41, BB726, 6101.790, 6835.661
P15AWAJ18, AAW048TP1008B, A0803CB1000, 1091A08T41, BB811, 2339.180, 3448.770
P15AWAJ34, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU18, 3934.702, 4537.892
P15AWAK03, AAW048TP1008B, A0803CB1000, 1091A08T41, BB211, 120.000, 825.670
P15AWAK19, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU17, 3164.951, 3768.141
P15AWAK35, AAW048TP1008B, A0803CB1000, 1091A08T41, BB922, 120.000, 1229.590
P15AWAL03, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU65, 3284.951, 3888.141
P15AWAL19, AAW048TP1008B, A0803CB1000, 1091A08T41, BB214, 4424.052, 5129.722
P15AWAL35, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU26, 1379.380, 1982.571
P15AWAM03, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU49, 798.190, 1401.380
P15AWAM19, AAW048TP1008B, A0803CB1000, 1091A08T41, BB929, 190.000, 1299.590
P15AWAM35, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU52, 114.000, 717.190
P15AWAN03, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU16, 1386.380, 1989.571
P15AWAN19, AAW048TP1008B, A0803CB1000, 1091A08T41, BB924, 1229.590, 2339.180
P15AWAN35, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU04, 3129.951, 3733.141
P15AWAP03, AAW048TP1008B, A0803CB1000, 1091A08T41, BB891, 179.000, 1288.590
P15AWAP19, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU19, 1414.380, 2017.571
P15AWBG07, AAW048TP1041B, A0803CB1000, 1091A08T41, BB216, 4416.052, 4973.282
P15AWBG23, AAW048TP1041B, A0803CB1000, 1091A08T41, BB211, 4253.052, 4810.282
P15AWBG39, AAW048TP1041B, A0803CB1000, 1091A08T41, BBB15, 4136.820, 4759.810
P15AWBL04, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU42, 1320.380, 1923.571
P15AWBL20, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU12, 149.000, 752.190
P15AWBM04, AAW048TP1041B, A0803CB1000, 1091A08T41, BB786, 5097.920, 5720.910
P15AWBM20, AAW048TP1041B, A0803CB1000, 1091A08T41, BB710, 5447.822, 6070.812
P15AWBM36, AAW048TP1041B, A0803CB1000, 1091A08T41, BB713, 814.990, 1437.980
P14AWDZ36, AAW048TP1041B, A0803CB1000, 1091A08T41, BB235, 2143.131, 2700.361
P14AWDZ17, AAW048TP1041B, A0803CB1000, 1091A08T41, BB713, 6344.027, 6967.017
P14AWDZ33, AAW048TP1041B, A0803CB1000, 1091A08T41, BB216, 756.230, 1313.461
P15AWAG31, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU16, 1989.571, 2592.761
P15AWAG47, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU23, 1383.380, 1986.571
P15AWAJ15, AAW048TP1008B, A0803CB1000, 1091A08T41, BB910, 240.000, 1349.590
P15AWAJ31, AAW048TP1008B, A0803CB1000, 1091A08T41, BB868, 2407.180, 3516.770
P15AWAJ47, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU21, 717.190, 1220.686
P15AWAK16, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU67, 808.190, 1411.380
P15AWAK32, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU06, 2549.761, 3152.951
P15AWAK48, AAW048TP1008B, A0803CB1000, 1091A08T41, BB725, 867.870, 943.296
P15AWAL16, AAW048TP1008B, A0803CB1000, 1091A08T41, BBB36, 8277.641, 9011.511
P15AWAL32, AAW048TP1008B, A0803CB1000, 1091A08T41, BB911, 2351.180, 3460.770
P15AWAL48, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU18, 4537.892, 4694.554
P15AWAM16, AAW048TP1008B, A0803CB1000, 1091A08T41, BB931, 3486.770, 4596.360
P15AWAM32, AAW048TP1008B, A0803CB1000, 1091A08T41, BB922, 2339.180, 3448.770
P15AWAM48, AAW048TP1008B, A0803CB1000, 1091A08T41, BB883, 171.000, 547.028
P15AWAN16, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU18, 2125.132, 2728.322
P15AWAN32, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU17, 2561.761, 3164.951
P15AWAN48, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU18, 1447.380, 1521.941
P15AWAP16, AAW048TP1008B, A0803CB1000, 1091A08T41, BB931, 158.000, 1267.590
P15AWBG04, AAW048TP1041B, A0803CB1000, 1091A08T41, BB788, 6338.671, 6961.661
P15AWBG20, AAW048TP1041B, A0803CB1000, 1091A08T41, BB214, 3782.822, 4340.052
P15AWBG36, AAW048TP1041B, A0803CB1000, 1091A08T41, BB758, 3857.940, 4480.930
P15AWBL01, AAW048TP1008B, A0803CB1000, 1091A08T41, BBU46, 114.000, 717.190
P15AWBL17, AAW048TP1008B, A0803CB1000, 1091A08T41, BB902, 1261.590, 2371.180
P15AWBM01, AAW048TP1041B, A0803CB1000, 1091A08T41, BB731, 1474.980, 2097.970
P15AWBM17, AAW048TP1041B, A0803CB1000, 1091A08T41, BBB36, 2930.840, 3553.830
P15AWBM33, AAW048TP1041B, A0803CB1000, 1091A08T41, BB787, 1982.970, 2605.960
P15AWCC11, AAW048TP1041B, A0803CB1000, 1091A08T41, BB787, 736.990, 1359.980
P15AWCC27, AAW048TP1041B, A0803CB1000, 1091A08T41, BB725, 2273.276, 2896.266
P15AWCC43, AAW048TP1041B, A0803CB1000, 1091A08T41, BB768, 2657.960, 3280.950
P15AWCG15, AAW048TP1041B, A0803CB1000, 1091A08T41, BBB15, 4759.810, 5382.800
P15AWCG31, AAW048TP1041B, A0803CB1000, 1091A08T41, BB217, 5226.722, 5783.952
P15AWCG47, AAW048TP1041B, A0803CB1000, 1091A08T41, BB713, 4552.930, 5098.047
