CUSTOMER,Pin-pkg,Prod_ID,Bond ID,TA/TB,Lot amount,Output plan
WINBOND,MBGA24J3U,024MAAB086,AAB024MAA008A,TA,7,41362
WINBOND,STBGA162B4U,162KEAB004,AAB162KE1002A,TA,28,42638
WINBOND,STBGA162B4U,162KEAB011,AAB162KE1006A,TA-2,4,10358
WINBOND,STDFN-08YQ2A,008YQAB085,AAB008YQ2034A,TB-R,10,43200
WINBOND,STDFN-08YQ2A,008YQAB085,AAB008YQ2034A,TB-U,9,38880
WINBOND,STDFN-08YQ2A,008YQAB090,AAB008YQ2039B,TB-R,7,29120
WINBOND,STDFN-08YQ2A,008YQAB090,AAB008YQ2039B,TB-U,22,86461
WINBOND,TSOP1-48AM,048TWAB012,AAB048TW2006A,TA,63,130314
WINBOND,TSOP1-48AM,048TWAB012,AAB048TW2006A,TA-2,31,64125
WINBOND,TSOP1-48AM2,048TWAB019,AAB048TW2009A,TA-2,4,5520
WINBOND,TSOP2-54ME,054TNAB036,AAB054TN1005A,TA,7,20160
WINBOND,TSOP2-54ME,054TNAB037,AAB054TN1004A,TA,8,19524
WINBOND,TSOP2-54ME,054TNAB037,AAB054TN1004A,TA-2,32,89554
WINBOND,TSOP2-54ME,054TNAB041,AAB054TN1005A,TA,17,46459
WINBOND,TSOP2-66ME,066TNAB040,AAB066TN1004A,TB-U,3,6906
WINBOND,VFBGA60B4L,060NRAB001,AB060NR1001A,TA,6,32802
WINBOND,VFBGA60B4L,060NRAB001,AB060NR1001A,TA-3,8,40840
WINBOND,VFBGA60B4L,060NRAB005,AAB060NR1004B,TA,1,5566
WINBOND,VFBGA60B4L,060NRAB005,AAB060NR1004B,TA-2,1,5578
WINBOND,VFBGA90B4L,090NCAB019,AAB090NC4006A,TA,1,3809
ZJP,FBGA-96UEF,096EFYZ001,AYZ096EF2001A,TA,18,81254
,,,,,,
,,,,,2582,8783851
